date,gender,age,address,famsize,Pstatus,M_Edu,F_Edu,M_Job,F_Job,relationship,smoker,tuition_fee,time_friends,ssc_result,hsc_result
29/04/2018,M,18.0,Rural,LE3,Apart,3,3,Services,Health,No,No,60266.0,2,3.09,2.85
29/04/2018,M,19.0,Rural,GT3,Together,3,3,Teacher,Services,No,No,83716.0,4,4.08,3.55
29/04/2018,M,19.0,Urban,GT3,Together,1,3,Services,Farmer,No,Yes,96488.0,1,3.91,3.54
29/04/2018,M,17.0,Rural,GT3,Together,3,0,Other,Services,No,No,64122.0,5,3.0,2.04
29/04/2018,F,19.0,Urban,GT3,Together,2,0,Teacher,Farmer,No,No,116224.0,3,3.99,3.5
29/04/2018,F,19.0,Rural,LE3,Together,4,1,Other,Teacher,No,No,74004.0,4,3.86,3.15
29/04/2018,M,18.0,Rural,GT3,Together,4,1,Health,Farmer,No,No,51331.0,3,4.76,4.23
29/04/2018,M,19.0,Urban,GT3,Together,3,3,Teacher,Farmer,No,No,101566.0,5,3.52,2.88
29/04/2018,M,18.0,Urban,GT3,Together,3,1,Services,Services,No,No,122262.0,1,4.7,4.3
29/04/2018,M,17.0,Rural,GT3,Together,1,0,Services,Services,No,No,72154.0,4,4.73,4.25
29/04/2018,M,17.0,Rural,GT3,Together,3,2,Teacher,Farmer,No,No,80899.0,4,3.36,2.88
29/04/2018,M,19.0,Urban,GT3,Apart,2,2,Services,Farmer,No,No,119564.0,3,4.03,3.32
29/04/2018,F,17.0,Rural,GT3,Together,1,2,Teacher,Business,Yes,No,50778.0,5,3.66,2.72
29/04/2018,M,19.0,Rural,GT3,Together,1,4,At_home,Teacher,No,No,63926.0,2,3.64,3.47
29/04/2018,M,17.0,Rural,GT3,Together,3,0,Services,Teacher,No,No,60751.0,4,3.96,3.29
29/04/2018,F,18.0,Rural,GT3,Together,0,3,Teacher,Health,No,No,42528.0,1,3.29,2.8
29/04/2018,M,18.0,Rural,GT3,Apart,2,2,Teacher,Farmer,Yes,No,35068.0,4,2.76,2.0
29/04/2018,F,18.0,Urban,LE3,Together,2,2,Services,Farmer,No,No,78717.0,4,3.45,2.65
29/04/2018,F,18.0,Rural,GT3,Together,0,4,At_home,Farmer,Yes,No,40218.0,2,4.57,3.89
29/04/2018,M,19.0,Rural,GT3,Together,1,1,Services,Farmer,No,No,73968.0,2,3.67,3.09
29/04/2018,M,17.0,Urban,GT3,Together,3,3,Teacher,Teacher,No,No,105402.0,5,3.78,3.29
29/04/2018,M,19.0,Urban,GT3,Together,3,1,At_home,Services,No,No,111643.0,4,4.32,3.67
29/04/2018,M,18.0,Urban,LE3,Together,1,2,Other,Business,No,No,112129.0,4,2.76,2.37
29/04/2018,M,19.0,Rural,GT3,Apart,3,3,Health,Services,No,No,69152.0,3,4.09,3.6
29/04/2018,F,17.0,Rural,LE3,Together,3,4,Services,Services,No,No,51526.0,3,4.89,4.36
29/04/2018,M,19.0,Rural,GT3,Together,2,4,Teacher,Teacher,Yes,No,61916.0,1,3.86,3.36
29/04/2018,M,17.0,Rural,LE3,Together,3,2,At_home,Business,Yes,No,82975.0,1,2.55,2.21
29/04/2018,M,19.0,Rural,GT3,Together,4,1,At_home,Farmer,No,No,71028.0,3,3.75,3.19
29/04/2018,F,,Urban,LE3,Together,2,3,Other,Teacher,Yes,No,101709.0,1,4.2,3.52
29/04/2018,M,17.0,Urban,GT3,Together,1,3,Services,Teacher,Yes,No,111999.0,4,3.87,3.04
29/04/2018,M,18.0,Rural,GT3,Together,4,0,At_home,Business,No,No,60063.0,2,3.98,3.24
29/04/2018,M,17.0,Urban,GT3,Together,2,2,Other,Health,No,No,79723.0,4,4.06,3.21
29/04/2018,F,18.0,Rural,GT3,Together,0,4,Teacher,Teacher,No,No,29213.0,3,3.19,3.0
29/04/2018,M,18.0,Rural,LE3,Together,2,2,Other,Services,No,No,57797.0,5,3.28,2.5
29/04/2018,F,18.0,Urban,GT3,Together,2,2,,Services,No,No,111234.0,5,3.56,2.67
29/04/2018,F,19.0,Rural,GT3,Together,3,4,Other,Farmer,No,No,59410.0,3,4.06,3.46
29/04/2018,M,19.0,Rural,GT3,Together,2,1,At_home,Teacher,No,No,58382.0,4,3.03,2.51
29/04/2018,F,19.0,Rural,GT3,Together,1,1,At_home,Farmer,No,No,32747.0,1,5.0,4.59
29/04/2018,M,19.0,Urban,GT3,Together,2,3,Health,Teacher,No,No,98655.0,1,2.22,2.0
29/04/2018,F,17.0,Rural,GT3,Together,2,2,Other,Business,Yes,No,65348.0,5,2.69,2.01
29/04/2018,F,17.0,Urban,GT3,Together,1,3,Teacher,Teacher,No,No,,3,4.16,3.45
29/04/2018,M,19.0,Rural,LE3,Together,2,1,Services,Health,Yes,No,47587.0,3,4.1,3.3
29/04/2018,M,17.0,Urban,GT3,Together,3,1,Health,Services,No,No,102555.0,2,3.75,3.19
29/04/2018,F,17.0,Rural,GT3,Together,0,1,,Business,No,No,53071.0,5,4.24,3.26
29/04/2018,M,18.0,Rural,LE3,Together,2,4,Teacher,Services,Yes,No,55239.0,3,4.17,3.38
29/04/2018,M,18.0,Rural,GT3,Together,1,2,Health,Farmer,No,No,61602.0,2,3.8,2.97
29/04/2018,M,18.0,Urban,GT3,Together,1,2,At_home,Business,No,No,72203.0,1,3.97,3.41
29/04/2018,F,18.0,Urban,GT3,Together,1,0,Services,Health,No,No,83635.0,5,2.0,2.0
29/04/2018,F,17.0,Urban,GT3,Together,1,1,Other,Services,No,No,71144.0,5,3.71,2.76
29/04/2018,M,19.0,Urban,GT3,Together,3,2,Teacher,Teacher,No,No,112699.0,3,3.77,3.18
29/04/2018,M,17.0,Urban,LE3,Together,1,0,At_home,Teacher,No,Yes,89083.0,3,5.0,4.33
29/04/2018,M,17.0,Rural,GT3,Together,3,2,Health,Teacher,No,No,66127.0,4,3.26,2.51
29/04/2018,F,17.0,Urban,GT3,Together,0,2,Services,Business,Yes,No,77213.0,1,3.78,2.99
29/04/2018,M,18.0,Urban,LE3,Together,4,3,Health,Health,No,No,101944.0,1,4.73,4.39
29/04/2018,F,18.0,Rural,LE3,Together,2,3,Health,Health,No,No,36187.0,2,4.16,3.64
29/04/2018,M,18.0,Urban,GT3,Together,3,2,Teacher,Health,No,No,83133.0,2,3.82,3.48
29/04/2018,F,19.0,Urban,GT3,Together,1,1,At_home,Services,Yes,Yes,73411.0,4,4.43,3.46
29/04/2018,M,17.0,Urban,GT3,Together,2,3,Other,Business,No,No,109457.0,1,3.28,3.07
29/04/2018,M,19.0,Rural,LE3,Together,1,3,Teacher,Teacher,No,No,67175.0,2,4.92,4.45
29/04/2018,M,18.0,Urban,LE3,Together,4,1,Services,Services,No,No,120191.0,1,4.22,3.77
29/04/2018,F,19.0,Rural,GT3,Together,2,4,Health,Health,No,No,41728.0,1,2.74,2.52
29/04/2018,F,17.0,Rural,GT3,Together,2,0,Services,Teacher,No,No,68744.0,2,3.41,3.15
29/04/2018,M,17.0,Urban,GT3,Together,3,0,Teacher,Business,Yes,No,102881.0,3,2.4,2.0
29/04/2018,F,18.0,Rural,LE3,Together,1,1,Teacher,Farmer,Yes,No,42801.0,3,4.32,3.52
29/04/2018,F,18.0,Urban,GT3,Together,3,4,Other,Health,No,No,90548.0,2,4.17,3.73
29/04/2018,F,19.0,Urban,GT3,Together,2,2,Health,Health,No,No,107886.0,4,3.5,3.03
29/04/2018,M,18.0,Rural,LE3,Together,3,3,Teacher,Health,No,No,74310.0,5,4.58,4.16
29/04/2018,M,18.0,Rural,GT3,Apart,2,1,Services,Health,No,No,54427.0,1,3.75,3.29
29/04/2018,M,17.0,Rural,GT3,Together,1,2,Other,Teacher,No,No,30972.0,5,5.0,4.18
29/04/2018,F,18.0,Urban,GT3,Together,1,2,Services,Business,No,Yes,103683.0,2,3.02,2.44
29/04/2018,F,18.0,Rural,GT3,Together,3,4,Health,Services,Yes,No,46621.0,1,4.22,3.58
29/04/2018,F,17.0,Rural,GT3,Together,2,0,Other,Teacher,Yes,No,61013.0,5,3.54,2.6
29/04/2018,M,17.0,Urban,GT3,Together,2,1,Other,Business,No,No,89530.0,3,3.36,2.81
29/04/2018,M,19.0,Urban,GT3,Together,4,1,Other,Services,No,No,92354.0,4,3.69,3.02
29/04/2018,F,18.0,Urban,LE3,Together,0,4,At_home,Health,No,Yes,102359.0,5,4.04,3.06
29/04/2018,F,17.0,Urban,GT3,Together,3,2,Other,Business,No,No,103223.0,4,3.84,3.35
29/04/2018,F,19.0,Rural,GT3,Together,4,2,Services,Health,No,No,86232.0,3,4.24,3.72
29/04/2018,F,19.0,Rural,GT3,Together,3,2,Services,Business,No,No,52550.0,5,4.19,3.47
29/04/2018,F,18.0,Rural,LE3,Together,3,4,Health,Farmer,No,No,62660.0,2,4.74,4.59
29/04/2018,M,18.0,Urban,LE3,Together,1,4,Teacher,Health,No,No,101029.0,1,3.02,2.61
29/04/2018,M,19.0,Rural,GT3,Together,1,3,Teacher,Health,No,No,60268.0,3,2.79,2.34
29/04/2018,F,17.0,Urban,GT3,Together,3,1,At_home,Health,Yes,No,106340.0,4,3.76,2.99
29/04/2018,F,19.0,Urban,GT3,Together,1,1,Other,Teacher,No,No,74290.0,4,3.28,2.58
29/04/2018,M,18.0,Urban,GT3,Together,1,4,At_home,Services,No,No,100138.0,3,4.37,3.64
29/04/2018,M,17.0,Urban,GT3,Together,3,2,Health,Health,Yes,Yes,86446.0,2,3.11,2.68
29/04/2018,F,17.0,Rural,LE3,Together,1,1,Health,Health,No,No,43432.0,2,3.44,2.92
29/04/2018,M,19.0,Rural,LE3,Together,4,2,Teacher,Teacher,No,No,46522.0,4,3.58,3.12
29/04/2018,M,18.0,Rural,GT3,Together,3,4,Health,Teacher,No,No,73329.0,3,4.95,4.46
29/04/2018,M,19.0,Urban,LE3,Together,3,2,Other,Farmer,No,No,83540.0,3,5.0,4.62
29/04/2018,F,19.0,Urban,LE3,Apart,3,2,Services,Business,No,Yes,92328.0,1,3.06,2.67
29/04/2018,F,19.0,Urban,GT3,Together,3,4,Health,Health,No,No,114247.0,4,2.37,2.08
29/04/2018,M,17.0,Rural,GT3,Together,3,2,At_home,Business,Yes,No,46677.0,2,3.43,3.08
29/04/2018,F,17.0,Rural,LE3,Together,2,1,Other,Teacher,Yes,No,76616.0,5,3.78,2.99
29/04/2018,M,18.0,Rural,GT3,Together,1,4,Health,Teacher,No,No,55947.0,2,3.77,3.33
29/04/2018,M,18.0,Urban,LE3,Together,3,4,Health,Farmer,No,No,93520.0,2,3.75,3.51
29/04/2018,F,19.0,Rural,LE3,Together,3,4,Other,Services,No,No,84711.0,5,4.33,3.59
29/04/2018,F,19.0,Rural,GT3,Together,2,3,Health,Teacher,Yes,No,57805.0,4,3.54,2.88
29/04/2018,F,19.0,Rural,LE3,Together,0,1,Services,Health,No,No,55444.0,1,3.94,3.23
29/04/2018,F,18.0,Rural,LE3,Together,2,4,Teacher,Farmer,Yes,No,55143.0,2,4.22,3.51
29/04/2018,F,17.0,Rural,GT3,Together,0,1,Other,Services,No,Yes,35292.0,2,3.94,3.46
29/04/2018,M,17.0,Rural,GT3,Together,4,4,At_home,Farmer,No,No,87844.0,4,4.24,3.72
29/04/2018,M,19.0,Urban,GT3,Together,4,4,Health,Teacher,Yes,No,101017.0,4,2.69,2.39
29/04/2018,M,19.0,Rural,GT3,Together,1,3,Teacher,Services,No,No,55323.0,3,3.87,3.26
29/04/2018,M,19.0,Urban,GT3,Together,2,4,At_home,Business,Yes,No,116423.0,4,3.95,3.35
29/04/2018,F,19.0,Rural,GT3,Together,0,3,At_home,Services,No,No,66713.0,4,3.69,3.02
29/04/2018,M,18.0,Rural,GT3,Together,3,1,Services,Health,Yes,No,62320.0,2,3.41,2.8
29/04/2018,F,17.0,Rural,GT3,Together,1,3,Teacher,Business,No,No,38774.0,1,4.1,3.59
29/04/2018,F,19.0,Rural,LE3,Together,2,0,Other,Business,No,Yes,37205.0,2,3.88,3.3
29/04/2018,F,18.0,Rural,LE3,Together,1,2,Teacher,Health,No,No,42342.0,4,3.77,3.05
29/04/2018,M,19.0,Rural,LE3,Together,0,1,Teacher,Business,Yes,No,29027.0,3,3.59,2.59
29/04/2018,F,19.0,Rural,GT3,Together,2,2,At_home,Teacher,No,No,51327.0,1,3.61,3.16
29/04/2018,M,17.0,Rural,LE3,Together,0,4,Services,Services,No,No,46200.0,3,3.3,2.8
29/04/2018,M,19.0,Rural,LE3,Together,2,4,Services,Services,No,No,42188.0,5,3.49,3.1
29/04/2018,F,17.0,Rural,GT3,Together,0,2,Teacher,Health,Yes,No,27808.0,3,3.19,2.19
29/04/2018,M,17.0,Rural,GT3,Together,2,2,Teacher,Teacher,No,No,48851.0,3,3.55,3.19
29/04/2018,M,17.0,Rural,GT3,Apart,3,2,Health,Business,No,No,55354.0,4,4.04,3.52
29/04/2018,F,18.0,Rural,LE3,Together,3,4,At_home,Services,Yes,No,55058.0,4,4.33,3.65
29/04/2018,M,18.0,Rural,GT3,Apart,3,2,Other,Services,Yes,No,54620.0,4,3.77,3.03
29/04/2018,F,17.0,Urban,GT3,Together,4,3,Other,Services,No,No,116230.0,4,3.75,3.11
29/04/2018,F,19.0,Urban,GT3,Together,0,4,Services,Services,No,No,101681.0,4,3.89,3.46
29/04/2018,F,17.0,Rural,GT3,Together,0,2,At_home,Farmer,No,Yes,42803.0,3,4.44,3.82
29/04/2018,M,19.0,Urban,GT3,Together,2,4,Services,Health,No,Yes,77167.0,5,3.65,3.07
29/04/2018,M,17.0,Rural,GT3,Together,3,4,Other,Business,No,No,42144.0,4,4.1,3.56
29/04/2018,F,19.0,Rural,GT3,Together,4,4,Teacher,Business,No,No,47167.0,5,4.04,3.44
29/04/2018,M,18.0,Rural,LE3,Together,0,1,At_home,Health,Yes,No,67520.0,5,3.39,2.54
29/04/2018,F,19.0,Rural,GT3,Together,1,2,At_home,Teacher,No,No,72136.0,2,4.26,3.62
29/04/2018,F,17.0,Rural,GT3,Together,1,4,Health,Health,No,No,55844.0,2,2.45,2.2
29/04/2018,F,18.0,Rural,GT3,Together,3,2,Teacher,Services,No,No,68163.0,1,4.49,4.01
29/04/2018,M,19.0,Rural,GT3,Together,2,3,Teacher,Services,No,No,57920.0,2,3.02,2.94
